year,county,aggravated_assault,forcible_rape,murder_and_non_negligent_manslaughter,robbery,total_crimes
2008,Alameda,11749,1151,287,11438,24625
2008,Alpine,11,2,1,0,14
2008,Amador,153,24,0,15,192
2008,Butte,1034,158,13,311,1516
2008,Calaveras,73,6,4,16,99
2008,Colusa,43,6,2,11,62
2008,Contra Costa,4170,322,136,3946,8574
2008,Del Norte,107,20,0,21,148
2008,El Dorado,518,41,9,99,667
2008,Fresno,5026,312,111,2433,7882
2008,Glenn,82,12,2,20,116
2008,Humboldt,527,56,5,184,772
2008,Imperial,536,37,14,240,827
2008,Inyo,107,1,0,4,112
2008,Kern,4827,329,91,2117,7364
2008,Kings,791,46,11,202,1050
2008,Lake,284,46,7,61,398
2008,Lassen,166,19,2,21,208
2008,Los Angeles,54895,4092,1476,51178,111641
2008,Madera,813,62,18,343,1236
2008,Marin,577,68,8,240,893
2008,Mariposa,39,3,1,0,43
2008,Mendocino,619,67,9,80,775
2008,Merced,1973,124,37,479,2613
2008,Modoc,55,9,0,4,68
2008,Mono,64,8,0,11,83
2008,Monterey,2375,182,66,1118,3741
2008,Napa,944,67,2,136,1149
2008,Nevada,294,28,1,39,362
2008,Orange,8169,861,144,6135,15309
2008,Placer,923,121,3,254,1301
2008,Plumas,119,13,3,3,138
2008,Riverside,8567,895,154,5205,14821
2008,Sacramento,8881,649,147,5476,15153
2008,San Benito,327,30,5,57,419
2008,San Bernardino,11219,913,215,6642,18989
2008,San Diego,14639,1582,166,7755,24142
2008,San Francisco,4755,333,196,8268,13552
2008,San Joaquin,6927,312,61,3830,11130
2008,San Luis Obispo,882,185,5,209,1281
2008,San Mateo,2386,272,31,1413,4102
2008,Santa Barbara,2300,250,26,548,3124
2008,Santa Clara,6471,668,99,3310,10548
2008,Santa Cruz,1532,119,13,491,2155
2008,Shasta,1470,233,7,189,1899
2008,Sierra,5,0,0,1,6
2008,Siskiyou,213,33,1,36,283
2008,Solano,2516,237,47,1784,4584
2008,Sonoma,2651,251,21,500,3423
2008,Stanislaus,3322,248,58,1502,5130
2008,Sutter,389,35,8,139,571
2008,Tehama,492,28,0,48,568
2008,Trinity,19,1,0,2,22
2008,Tulare,3116,186,63,913,4278
2008,Tuolumne,107,26,1,19,153
2008,Ventura,2076,228,58,1698,4060
2008,Yolo,562,124,6,348,1040
2008,Yuba,340,46,6,76,468